,link,title,description,category
0,X9I66fXrGiY,The Boabeng-Fiema Monkey Sanctuary In Ghana,"On our way to Ghana's coast we stopped by the Boabeng-Fiema Monkey Sanctuary. A small village where monkeys and humans live in harmony together. There we encountered Mona and Colobus Monkeys. The Monas were really human friendly and we got super close to them (thanks to a bribe or our two provided by our guide) but the Colobus Monkeys on the other hand weren't really shy but didn't care about humans at all.

In this video you can see us walking around the jungle and village, meeting many, many monkeys. And yes, we also encountered super cute baby monkeys. We hope this video brightens your day. Also check out the monkey cemetery at the end of the video!

We're going to be writing about the  Boabeng-Fiema Monkey Sanctuary soon on our Ghana Travel Blog: 



This video was filmed with this camera: ",travel
1,NpsGoZXy6I,,"Staying at the Zaina Lode at the Mole National was definitely one of the highlights of our time in Ghana. This resort is the first of its kind in Ghana, offering visitors a luxurious Safari experience. The main lodge is crafted in Ghanian tradition with infinity pool and restaurants and lounge areas overlooking the Savannah. You'll be staying in a luxurious tent with your own veranda where you can chill. From there you'll be able to spot many wild animals like elephants, monkeys and antelopes. 

Book your stay here: 

We will be soon publishing an article about the Zaina Lodge on our Ghana Travel Blog:  .

This video was recorded with this camera: .",travel
2,i92rTwXkFw4,,"On our second day at the Mole National Park in Northern Ghana we got up early to go on a Jeep Safari. This was a lot of fun too but the walking Safari we did the day before was hard to beat. Why? Well see for yourself in this video: 



During this safari it was a bit hard to spot animals since we were zipping by so fast but we got to see some wildlife and the highlight yet again were of course seeing elephants.

We were happy to go on this Jeep Safari but if you have to choose I would recommend doing the foot safari as described here: 



We're going to be writing about the jeep safari soon on our Ghana Travel Blog:



This video was filmed with this camera: ",travel
3,q_AltAajhu4,,"First off, I want to apologize for this super jumpy and shaky footage for most part of the video. I normally film these days with the Osmo Pocket but it's not set up with a zoom lens, so for some clips I decided to film with my damaged zoom lens of my mirrorless camera, which has a broken stabilizer. I had it sent in to have it repaired but they sent it back still broken and it doesn't matter if I have stabilization turned off or on. 

Even though I'm a bit heartbroken about this footage, it was such an incredible experience to be that close to these wild elephants at the Mole National Park in Ghana and yes, we were walking through the Savanna by foot which made meeting the elephants more special and a bit terrifying.

We're soon going to write about the Mole Park Elephants on our Ghana Travel Blog soon: ",travel
4,21N1J5ZsdYA,Larabanga Mud Mosque - Walk Around - Unique Architecture Of West Africa,"Mud, Stone and Wood - this is all being used to build this unique mud mosque of Larabanga. There are several mud mosques in Ghana but this is claimed to be the oldest and most beautiful one.

You can't go inside unless you're muslim but they do have a replica room which reflects the inside of the original mosque but we had zero interest to see that.

One thing I would like to do when we're ever back in Ghana, is to seek out all the other mosques which are less frequently visited.

Read all about the Larabanga Mud Mosque in a soon to be published article on our Ghana Travel Blog:



This video was recorded with this camera:",travel
5,TwzHhILnsC0,Drone Footage of the Larabanga Mud Mosque In Ghana - Near Mole National Park,"There is zero doubt, the Larabanga Mud Mosque is such a beautiful, unique building and a must see when you're visiting Ghana. It honestly took our breath away when we saw it for the first time. But everything around it was such torture. It's a straight up tourist trap, it almost feels like you have to pay for breathing air when you're near the mosque. It was rather unpleasant but we weren't walking away without the material we came for. But we're going to talk about it more in an upcoming article on our Ghana Travel Blog: 



And believe me, I was not walking away from that mosque until I had all the material I came for after paying up like that :)

This video was recorded with this drone: ",travel
6,fm4yW1w3UQ,The Labyrinth Living Quarters Of Tengzug Before The Big Festival - Northern Ghana,"This was bizarre! We arrived at the secluded village of Tengzug, which is made made of interconnected living quarters and shrines, right before their big yearly festival. Most men had to be shirtless and we weren't allowed to visit the shrines because you're only supposed to enter there in the nude. So these areas were off limits, even though on regular, non festive days, you can enter as a visitors.

The first scene, we walked into, was a freshly slaughtered goat ... we're not going to post that video footage but giving sacrifices for the festival are a huge deal. It w as really a shame that we didn't schedule our visit to Tengzug a week later to see all the celebrations. But we loved meeting the Chief of Tengzug, right before we left.

We're going to write about the town of Tengzug soon on our Ghana Travel Blog: 



This video was recorded with this camera: ",travel
7,FE-1wUatohk,The Beautiful Rock Landscapes Of Bongo And Playing Drums On The Rocks - Ghana,"I say Bongo and you say Bongo Drums? Kind of, yes. But firstly the town of Bongo is know for their breathtaking, surrounding rock landscapes. But during our hike our guide took us to this giant rock and start beating it with small rocks at certain spots to generate drumming sounds. So maybe there is a connection after all? Are bongo drums from Bongo, Ghana? A quick online search reveals that Bongo Drums originated from Cuba. Interesting!!

Anyways, please enjoy this video of the amazing Bongo landscapes and towards the end of the video you can also see a small church group singing on top of a holy mountain which made the perfect background music while taking in the views.

We're going to write about the Bongo Rocks soon on our Ghana Travel Blog: 



This video was filmed with this camera: ",travel
8,BcoufUn3C50,Drone Footage: Bongo Rocky Landscapes - Northern Ghana,"From Bolgatanga we set out to visit the small town of Bongo just a few kilometers north of it. The main reason we went there was because of the rocky landscapes which just scream AFRICA. There we set out for a little but brutal hike in the mid day sun. We were sweating and very slow!

I don't know how it always works out like this, every time I set up my drone, even though we're in the middle of nowhere, local kids seem to sense it and come running!!!! Even if it's no in the air yet.

We will be soon writing about the Bongo Rocky Landscapes on our Ghana Travel Blog: 



This filmed this video with this drone:",travel
9,Hz2dPKLfv-A,,"After we petted the crocodile at the Paga Pond see video here:

https://www.youtube.com/watch?v=698Kx...

we went over to the Paga Pia Palace, a large living compound for several families featuring some traditional architectural elements. The most impressive buildings where the grain silos and flat buildings which held the sleeping rooms and the roof was used to dry various grains and other food.

We were guided through the labyrinth of different paths through the compound. We really liked the decoration of the buildings but even more interesting to us where the way how they buried the deceased, straight down, under ground through a tiny hole. More about this soon via an article on our Ghana Travel Blog: 



This video was recorded with this camera: ",travel
10,698Kx2ndSQE,Petting A Real Life Crocodile At The Chief Pong In Paga - Ghana,"Just to mention one thing first, I didn't get close to that crocodile wading out of the Paga pond, lured out by the whistles of our guide and the chirping sound of the fowl.

I had my telephoto lens attached to my camera and stayed clear. Also I have to apologize for the jumping video footage. I dropped my zoom lens the same day I crashed my drone 2 years ago, but I think the jittery, jumps kind of underline how I felt inside.

After Mike was able to pet that beast, the crocodile got its treat and slowly moved into the pond again, right in time for me to fire up my drone to take some videos from above the crocodile pond:



No crocodile or human was harmed in this video.

We will write and publish a full article about our Paga Crocodile Pond visit soon, which will be available on our Ghana Travel Blog, there we will also explain why the people of Paga think the crocodiles are holy:



This video was recorded with this camera: 



Thank you so much for watching!",travel
11,q96apTECEx,"Drone Footage Of The Crocodile Pond In Paga, Ghana","There will be another video of Mike actually sitting on and petting this crocodile at the pond in Paga. I filmed this after the 101 with the crocodile season was over and the crocodile decided to go back into the pond for a swim.

Here is the video of Mike actually touching this guy: 



I would also like to draw your attention to the fishing men who decided to walk into the pond right behind the crocodile to throw out his fishing net into the pond. Visiting the crocodile pond was pretty wild. Also don't miss the full article on these wild crocodiles which will published soon on our Ghana Travel Blog:



This video was recorded with this drone:",travel
12,9K_GZOZhI80,A Walk Through The Wulugu Mud House In Northern Ghana - Natural Air Conditioning - Ghana Travel Blog,"After the drone video of the Wulugu Mud House: 

https://youtu.be/_SaWjJ8G1vs

We're now taking you inside this house built from mud and wood. Also please keep in mind, some of the footage is a bit shaky because some of the passage ways and rooms where tiny and me with my almost 2 meters had a hard time to squeeze through at time.

The moment you step inside you'll notice instantly that the temperature inside is much cooler than the outside. The mud house was built in a way creating this natural air conditioning, letting in cooler air while release hot air. I kind of never wanted to leave the inside again because I knew outside we had to sweat again at 40 plus celsius outside.

We're soon going to write about this the Wulugu Mud House in details on our Ghana Travel Blog: 



This video was recorded with this camera: ",travel
13,_SaWjJ8G1,,"We were so surprised to find the uniquely designed Wulugu Mud House on our way to Bolgatanga. We couldn't believe our eyes to see such marvel, basically in the middle of nowhere. An entire palace made out of mud and wood and it's built in a way which leads cold air in and hot air out, basically being cooled be a natural air conditioning.

There are so many more interesting facts about the Wulugu Mud House which we will write about it soon on our Ghana Tavel Blog: 



But I want to share one really cool thing about the mud house, the wall surrounding it, is in the shape of Ghana. Don't believe me? Well then see for yourself: 

This video was recorded with this drone: ",travel
14,COeFWNmsJI0,"Spinning Cotton, Cooking Shea Butter and Meeting The People Of North Ghana","If you're wondering where your Body Shop Shea Butter is coming from, then this is the answer: Your beloved Shea Butter comes from small West African villages like this one. The village was just at the outskirts of Tamale and was surrounded by Shea Nut Trees. We were lucky to see how they're boiling the pressed nuts to separate unwanted particles from the butter. 

That was interesting but even more though we loved watching this old lady spin cotton inside her adobe hut to a thread ,which will be then later be used to produce the traditional cloth item called Smock. 

If you're in Tamale and would love to do the same tour please leave a message int he comments, we can connect you with the people who organized it. All the profits of the tour go directly to the village itself.

We're soon going to write about it our visit to this village producing Shea Butter and Cotton on our Ghana Travel:



This video was recorded with this camera :",travel
15,RBzKCQxtvsE,Drone Footage Of A Craft Village Near Tamale - Shea Butter - Cotton and Pottery,"This was the last excursion we did during our week in Tamale. We organized a tour to see how shea butter was being made, cotton be spun and drones to be flown. Well, the last craft, I brought into the village 😅!

This village was very close to Tamale and a bit bigger than than the first village we visited. People there were very used to foreigners coming for a visit, since they're part of a program to bring visitors and villagers closer together. Proceeds of these tours go straight to the citizens of this little town.

We're going to write more about in an upcoming article about this village and tour on our Ghana Travel Blog: 



This video was filmed with this drone: ",travel
16,-fRLfR8_GA,Mascleta Virgen de los Desamparados - Fireworks Valencia 2019,"This Mascleta was in the honor of the Virgen de los Desamparados, the most important religious figure of the city. We love this particular Mascleta because the protective fence is not installed, which gives you a direct view into the plaza, so you can see better what's going on and it also gives you a better sense what a Mascleta is all about.

If you're curious, check out our Valencia Travel Blog, which has tons of information on the Valencian Mascleta: 



Also, I'm sorry about the dust specs on my camera sensor :) I guess I should have cleaned my camera inside and out after our For91days in Ghana. It was a bit dusty there.

Are you planning to visit or move to Valencia? Check out our Valencia Book with tons of information about this amazing city, available on Amazon: ",travel
